"RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"United States",0,,,,,,,,,,,,,0.96293654567549,0.909090909090909,0.923076923076923,0.935828877005348,1.04305749913096,1.09429824561404,1.11764705882353,1.09285714285714,1.09704641350211,1.07758620689655,1.02857142857143,1.00959893118517,1,1.02941176470588,1.04761904761905,1.1,1.08333333333333,1.16584440736785,1.17857142857143,1.21428571428571,1.26315789473684,1.27272727272727,1.33333333333333,1.34682080924855,1.375,1.35782747603834,1.375,1.41791044776119,1.41666666666667,1.38067061143984,1.36111111111111,1.38644918444166,1.58878504672897,1.58730158730159,1.49438341155025,1.44978993347485,1.42857142857143,1.37545521516077,1.35220125786164,1.3360925892096,1.40625,1.495,1.53466866023619,1.54166666666667,1.50699677072121,1.49376296680498,1.5327380952381,1.50704448465138,1.504329004329,1.49007042253521,1.59333333333333,1.57142857142857,1.55128205128205,1.6472590282513,1.57377049180328,1.57824031469352,1.625,1.52352941176471,1.56917562724014,1.48385450462602,1.45536869340233,1.49350649350649,1.58524904214559,1.42857142857143,1.52353755906795,1.5,1.52631578947368,1.57958687727825,1.59722222222222,1.58703071672355,1.56617071260767,1.50158568211974,1.47710487444609
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05294117647059,3.06625514403292,3.11111111111111,3.11111111111111,3,2.99375,2.94736842105263,2.9725975975976,2.94117647058824,2.95,3.07142857142857,3.125,3.09597523219814,3.2,3.11111111111111,3.10526315789474,3.1,3,2.9375,3.12048192771084,3.09139094121426,3.06,3.1,3.14893617021277,3.14285714285714,3.15,3.11111111111111,3
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,1.4,1.30779710752463,1.31666666666667,1.31578947368421,1.289,1.28766469321851,1.29441624365482,1.32076744955342,1.36111111111111,1.32107023411371,1.34969325153374,1.375,1.38888888888889,1.42857142857143,1.5,1.61006357921609,1.65194346289753,1.69570218682847,1.7,1.64628410159925,1.62111111111111,1.625,1.64640174233776,1.63888888888889,1.66666666666667,1.66666666666667,1.65450928381963,1.64352941176471,1.62337662337662,1.625,1.62337662337662,1.67283860492074,1.69014084507042,1.69154228855721,1.75,1.75,1.7718253968254,1.83333333333333,1.83452380952381,1.78571428571429,1.80372153945979,1.88260869565217,1.86774193548387,1.77146180179653,1.825,1.85459940652819,1.83341592335646,1.83333333333333,1.875,1.99300699300699,1.84943729903537,1.84797218326321,1.82386516250336,1.84059343434343,1.89473684210526,1.92190333557471,1.97941182131378,2.0548048048048,2.08333333333333,2.12,2.08681318681319,2.10271903323263,2.1245028922632,2.10714285714286
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74418604651163,1.82857142857143,1.86875,1.88850038850039,1.9,1.795,1.78348214285714,1.83333333333333,1.85,1.79,1.83333333333333,1.825,1.79,1.8,1.8,1.78125,1.8642330501683,1.86875
"Dallas, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99830866807611,0.991564417177914,0.90684253915911,0.917767475271916,0.885668276972625,0.868621064060804,0.848400556328234,0.873736691243191,0.890443621164624,0.85,0.875190258751903,0.87719298245614,0.87163258682246,0.872349949863916,0.918789808917197,0.987723214285714,0.975499092558984,0.963203463203463,0.962696941612604,0.939913835121895,0.948062654575433,0.948019801980198,0.976806422836753,0.937844487984259,0.919117647058823,1.00798934753662,1.02513227513228,1.01185069905092,1.0454744293327,1.04016064257028,1.05912485030178,1.10229329105329,1.08047493403694,1.04050279329609
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.917857142857143,0.958333333333333,0.995,1.01547388781431,1.015625,1.02810143934202,1.08166666666667,1.10540935672515,1.11875,1.15,1.17241379310345,1.19578686493185,1.26054852320675,1.195,1.17959314298436,1.16666666666667,1.16666666666667,1.16666666666667,1.195,1.18110236220472,1.17233294255569,1.15833333333333,1.15098039215686,1.15625,1.15652173913043,1.14583333333333,1.17565698478562,1.23172103487064,1.25932835820896,1.26969696969697,1.27777777777778,1.25,1.22050803233398,1.19476962457338,1.21428571428571,1.23226288274832,1.25,1.17838733431517,1.2,1.2,1.22222222222222,1.27450918964077,1.325,1.34245187436677,1.34981154111589,1.25932835820896,1.30952380952381,1.25949367088608,1.20833333333333,1.2646793134598,1.2995,1.31742424242424,1.39230486008837,1.3891106442577,1.40882352941176,1.425,1.4,1.395,1.37431318681319
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26248941574936,1.15120967741935,1.23175675675676,1.14120667522465,1.1203007518797,1.12244897959184,1.18150684931507,1.12296110414053,1.19047619047619,1.24590163934426,1.36165577342048,1.40625,1.15319426336375,1.08446471809063,1.12,1.14942528735632,1.1,1.125,1.1328125,1.09090909090909,1.07045850914205,1.1143319797295,1.15343347639485,1.06759656652361,1.11061374714016,1.08515054390054,1.08872458410351,1.10294117647059,1.16238317757009,1.12390350877193,1.0736224028907,1.13092237903226,1.11777820447175,1.13968253968254,1.13355096968709,1.15658362989324,1.13793103448276,1.16739259903102,1.125,1.09809663250366,1.14285714285714,1.1701114501017,1.16973121907332,1.16666666666667,1.10206896551724,1.07188698116353,1.05990783410138
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03125,1.90650421193797,2.0236287191368,1.97540509259259,2.06684256816183,2.09868421052632,2.18033998521803,2.30638613861386,2.30260707635009,2.29581584036983,2.24933862433862,2.32,2.29153111071315,2.13333333333333
"Miami, FL",8,,,,,,,,,,,1.05541596873255,1.05541596873255,1.04720885807273,1.03132161955691,1.03260869565217,1.03783714428492,1.06181268287445,1.07671601615074,1.1057609616636,1.09090909090909,1.11944992021027,1.11538461538462,1.10026041666667,1.11689699699598,1.11731843575419,1.06598984771574,1.06666666666667,1.07913669064748,1.08969696969697,1.1020785662853,1.1304347826087,1.13905449269431,1.16666666666667,1.18240345855242,1.2790260761073,1.3166144200627,1.35135135135135,1.364522417154,1.47058823529412,1.43163922691482,1.3795738277546,1.36834319526627,1.35327635327635,1.33120340788072,1.3412017167382,1.35964912280702,1.3986013986014,1.39793788907753,1.40599159316428,1.38888888888889,1.36842105263158,1.44577499588206,1.43382352941176,1.46484375,1.54711204627779,1.53846153846154,1.46666666666667,1.52016464485539,1.53846153846154,1.52380952380952,1.51260504201681,1.53994225216554,1.61875,1.65377132595031,1.68421052631579,1.67763157894737,1.7163504968383,1.63636363636364,1.67300710225218,1.73825503355705,1.69230769230769,1.61875,1.65853658536585,1.75,1.79477975960388,1.68181818181818,1.66666666666667,1.70245701864172,1.77777777777778,1.76470588235294,1.78997613365155,1.77115987460815,1.76236263736264,1.78571428571429,1.8125
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.735913052089523,0.789583333333333,0.75,0.666111111111111,0.6625,0.691304347826087,0.723229911161579,0.665280950314498,0.680628272251309,0.6875,0.712875225275963,0.707142857142857,0.703703703703704,0.706211302487898,0.719721767594108,0.72,0.704545454545455,0.75,0.736360584186671,0.718512256973795,0.721977189699724,0.739583333333333,0.755798801146729,0.786924939467312,0.795690343176377,0.810473815461347,0.806451612903226,0.761054421768708,0.764705882352941,0.795690343176377,0.776053215077605,0.78125,0.777777777777778,0.855555555555556,0.882843137254902,0.881696428571429,0.954861111111111,0.974462365591398,1.00483675937122,1.05882352941176,1.02565038002172,1.02133333333333,1.01666666666667
"Boston, MA",10,,,,,,,,,,,,,,,,1.72863247863248,1.9,1.80444444444444,2,2.08004160166407,2.17220309810671,2.21690947225214,2.18181818181818,2.05,2.03540100250627,2.05937431152236,2.04216073781291,2.14285714285714,2.1,2.21002506265664,2.26666666666667,2.35147058823529,2.40909090909091,2.475,2.45,2.4,2.3030303030303,2.26977248104009,2.3,2.25699861451157,2.1,2.29799851742031,2.2859492481203,2.3153942428035,2.4541958041958,2.47619047619048,2.4812030075188,2.33333333333333,2.28365384615385,2.25052792139617,2.17647058823529,2.08333333333333,2.25070422535211,2.34037558685446,2.4,2.48876992031872,2.41666666666667,2.38095238095238,2.39818652849741,2.275,2.22222222222222,2.16666666666667,2.16942148760331,2.23076923076923,2.3125,2.36875,2.42857142857143,2.45454545454545,2.47206616729089,2.31578947368421,2.45,2.27825030376671,2.22222222222222,2.19047619047619,2.11706730769231,2.2,2.30105008077544,2.36939571150097,2.4,2.47201274848747,2.46428571428571,2.4430235577377,2.3937963587323,2.28571428571429,2.28082706766917
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.2375,2.9219512195122,3.125,3.14778325123153,3.29166666666667,3.25,3.24375,3.18369943633952,3.11111111111111,3.17637241958532,3.13232323232323,3.20794590025359
"Detroit, MI",12,,,,,,0.756720430107527,0.764895330112721,0.759090909090909,0.795454545454545,0.785714285714286,0.846153846153846,0.802139037433155,0.832070634639617,0.723529411764706,0.71875,0.728353658536585,0.760953562566466,0.78,0.788157894736842,0.785714285714286,0.822222222222222,0.767901571061165,0.75,0.766128433556051,0.75,0.75,0.75,0.727516960651289,0.696859903381642,0.769230769230769,0.773387541345094,0.75,0.776388888888889,0.776388888888889,0.785714285714286,0.810810810810811,0.828571428571429,0.846153846153846,0.816521739130435,0.825423167357331,0.833333333333333,0.833333333333333,0.846153846153846,0.85,0.888888888888889,0.875,0.872295882763433,0.87939021155249,0.875,0.856748224151539,0.857142857142857,0.849358974358974,0.876533370295932,0.875407166123778,0.892857142857143,0.875,0.856190476190476,0.856190476190476,0.891929090508699,0.894736842105263,0.913978494623656,0.8975,0.862727272727273,0.86,0.84956983805668,0.863636363636364,0.888888888888889,0.897226753670473,0.849358974358974,0.916666666666667,0.994444444444444,0.928571428571429,0.941176470588235,0.984117051075749,0.963718820861678,0.883216031280547,0.897435897435897,0.923295454545455,0.928571428571429,1,0.99375,0.950563401670463,0.964285714285714,0.928699820251648,0.961656525151734
"Riverside, CA",13,,,,,0.930212710084034,0.85109649122807,0.906913280776228,1,1,0.895475372279496,0.888888888888889,0.87719298245614,0.877322404371585,0.914634146341463,0.938235294117647,0.954861111111111,1.05,1.09681955138935,1.12572393822394,1.06590038314176,1.08145319983664,1.03888422818792,0.951612903225806,0.909090909090909,0.899640287769784,0.90625,0.928571428571429,0.974679487179487,0.971335992023928,0.960477941176471,0.967685047193244,0.965397509578544,0.97215298548798,0.972222222222222,0.9375,0.944444444444444,0.944444444444444,0.967044912298022,1,0.963185195424798,0.926439628482972,0.9375,0.9375,0.944812014282714,0.990839694656489,0.977272727272727,0.956503378378378,0.928571428571429,0.903420132141469,0.907670454545455,0.925833333333333,0.926666666666667,0.916824196597353,0.927995391705069,0.981873111782477,0.941176470588235,0.95,0.936491935483871,0.954523853382353,0.928571428571429,0.915064102564103,0.932972322503008,0.919230769230769,0.884848484848485,0.878220140515222,0.856484529295589,0.845190212837272,0.904761904761905,0.932400932400932,0.999090909090909,1,1.05,1,1.02564102564103,0.992063492063492,0.992063492063492,1.05,1.08012345679012,1.08333333333333,1.07692307692308,1.07307692307692,1.10912698412698,1.15089514066496,1.18583416583417,1.18285714285714
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,0.876713799124138,0.874233128834356,0.897237569060773,0.845000963010269,0.778645833333333,0.769463869463869,0.789830508474576,0.75,0.741440217391304,0.772903225806452,0.757097791798107,0.775240384615385,0.778888888888889,0.798,0.791666666666667,0.791666666666667,0.803030303030303,0.798387096774194,0.828879740518962,0.83515051569223,0.827625570776256,0.804289544235925,0.80952380952381,0.800457404230989,0.796548743419514,0.80952380952381,0.80952380952381,0.810386904761905,0.805555555555556,0.788431061806656,0.782720357590966,0.789049919484702,0.795335773392744,0.8,0.778291449344081,0.795671546785487,0.809121347402597,0.851305334846765,0.87375,0.87375,0.856203007518797,0.850617283950617,0.839315313017978,0.833333333333333,0.818839943839944,0.826388888888889,0.842105263157895,0.857142857142857,0.909090909090909,0.918912499469822,0.833128258843969,0.875,0.852123255658677,0.857142857142857,0.847826086956522,0.847089134983719,0.875,0.882352941176471,0.915384615384615,0.93,1,1.02391849188188,1.02453987730061,1.04389721627409,1.07158165452207,1.07158165452207,1.05764705882353
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,0.933036718775112,0.943877551020408,0.983424908424908,0.995,0.992857142857143,0.981954320189614,0.97,0.992827868852459,1,1.01702127659574,1.02514090387225,1.03833904948555,1.06060606060606,1.08142493638677,1.19705942939541,1.29252103049422,1.33767971246006,1.35371179039301,1.37795275590551,1.36787956621005,1.38235294117647,1.42307692307692,1.42967032967033,1.42380952380952,1.4198489010989,1.42142857142857,1.36666666666667,1.34238325234088,1.34146341463415,1.35994980913332,1.32857142857143,1.38629975445852,1.42387732749179,1.42225274725275,1.47435897435897,1.57813702848345,1.54406873614191,1.61099910394265,1.5625,1.52357441978788,1.43279797125951,1.42363293526084,1.41761083743842,1.51486202172424,1.5,1.46842105263158,1.5625,1.66666666666667,1.76,1.70018856065368,1.60377358490566,1.68465909090909,1.59333333333333,1.57159090909091,1.69985835694051,1.78533157052397,1.88185358255452,1.93970588235294,1.93661971830986,1.99705882352941,1.99045454545455,1.93705985915493,2.03610531803962
"Minneapolis, MN",16,,,,,,,,,,0.846011465328722,0.857142857142857,0.852272727272727,0.852272727272727,0.869784580498866,0.883333333333333,0.886058087027915,0.981169474727453,1.02173913043478,1.02739726027397,1.0265191429575,1.03463339424395,1,0.925925925925926,0.942105263157895,0.95,0.970588235294118,0.935294117647059,0.926666666666667,0.957070707070707,0.966745304418837,1,0.992477375565611,0.992857142857143,1,1.03550420168067,1.08,1.11764705882353,1.14965312190287,1.16233766233766,1.1340407355508,1.11464968152866,1.11111111111111,1.10576923076923,1.10204081632653,1.11087827139797,1.10887096774194,1.1,1.09563957547829,1.05769230769231,1,1.03571428571429,1.03529411764706,1.08513986013986,1.08163265306122,1.0875,1.125,1.14149659863946,1.11428571428571,1.09532608695652,1.09166666666667,1.08177447552448,1.07999507874016,1.11640442890443,1.10714285714286,1.11702127659574,1.13333333333333,1.13333333333333,1.13333333333333,1.13693045563549,1.11278447121821,1.15515436944008,1.15483870967742,1.12685309973046,1.12083333333333,1.16869918699187,1.17073170731707,1.16666666666667,1.16301995451544,1.17375,1.19047619047619,1.21541353383459,1.21726124631268,1.20945827489481,1.21125,1.17727272727273
"San Diego, CA",17,,,,,,1.31634615384615,1.19974747474747,1.23863636363636,1.30277777777778,1.28952380952381,1.22324159021407,1.25662188162188,1.26538987688099,1.28954916362181,1.32954545454545,1.31211180124224,1.375,1.396255192108,1.4169201861131,1.41502624671916,1.44647442875933,1.41865178038592,1.3919696969697,1.38975155279503,1.39149583600256,1.4,1.41176470588235,1.42761354129565,1.4599609375,1.4218253968254,1.43939393939394,1.45807453416149,1.4780073800738,1.48823529411765,1.48845421663811,1.544,1.54107310215558,1.53076923076923,1.53076923076923,1.60844947735192,1.61135462282079,1.56692913385827,1.59176029962547,1.63175990675991,1.79637640449438,1.70871609403255,1.7,1.66111111111111,1.69336466165414,1.67900964066608,1.72719432274745,1.75257731958763,1.8,1.85,1.87228260869565,1.87861794753539,1.84343434343434,1.90108695652174,1.9375,1.94736842105263,1.99590863453815,1.95121951219512,2.05910525129592,2,1.95121951219512,1.99,2.04772727272727,1.91611842105263,1.85242376409764,1.94539295392954,1.93968696642003,1.99,1.97948717948718,2.00657894736842,1.94539295392954,2.00190839694656,2.10032362459547,2.1143947655398,2.11728865194212,2.12876047220107,2.18181818181818,2.19978480060196,2.18301435406699,2.23105625717566,2.19966159052453
"Saint Louis, MO",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7421875,0.709136240703178,0.666666666666667,0.619724893162393,0.6875,0.6875,0.689940639717425,0.70355032599837,0.649350649350649,0.61633658008658,0.594172297297297,0.617283950617284,0.621621621621622,0.675,0.666666666666667,0.645262768319763,0.607385811467444,0.655555555555556,0.650725685166528,0.624038461538462,0.668700159489633,0.65625,0.633640552995392,0.708924103419516,0.666666666666667,0.682508281192492,0.659115905245347,0.702941176470588,0.660766652702137,0.7,0.760869565217391,0.746153846153846,0.736939571150097,0.725667760074977,0.748834830339321,0.758114035087719,0.772961574507966,0.769230769230769
"Tampa, FL",19,,,,,,,,,,,,,0.78766173928275,0.806451612903226,0.797923875432526,0.797491723962312,0.822368421052632,0.828784516765286,0.858640782567326,0.863636363636364,0.888888888888889,0.856389986824769,0.868809730668983,0.867738198667825,0.857142857142857,0.85,0.855263157894737,0.8432,0.830449826989619,0.835253456221198,0.846153846153846,0.857142857142857,0.878787878787879,0.862587412587413,0.872668449971082,0.914315569487983,0.9375,0.948509485094851,0.966526610644258,0.962627406568516,0.955882352941177,0.958029197080292,0.958029197080292,0.957692307692308,0.961538461538462,0.962099125364432,0.948890822096564,0.982505950357021,0.961538461538462,0.94017094017094,0.955118079140668,0.98458904109589,0.992752100840336,0.962910128388017,0.962224294963239,0.96875,0.990393013100437,1,1,1,0.98990568818155,0.970856929159098,0.96476833976834,0.963636363636364,0.982953660395152,1.01061614610002,1.04417670682731,1.03850550777925,1.02996254681648,1,1.06952636282395,1.07222222222222,1.01472494239631,1.07883817427386,1.1454753722795,1.05,1.13333333333333,1.13104793756968,1.12403100775194,1.14160561072014,1.19180597387021,1.15384615384615,1.19939759036145,1.15384615384615,1.1485870556062
"Baltimore, MD",20,,,,,,,,,,,,,,1.2353050397878,1.17828053890053,1.12142857142857,1.22084548104956,1.33034214236301,1.38312586445367,1.20828891257996,1.22104247104247,1.19703389830508,1.19589977220957,1.19589977220957,1.17545871559633,1.21018825671712,1.16666666666667,1.1875,1.14983974358974,1.21825396825397,1.22222222222222,1.18067978533095,1.25,1.25097809076682,1.25574908313324,1.2,1.19145439605587,1.2,1.15328671328671,1.19157608695652,1.1625,1.16264534883721,1.20454545454545,1.220703125,1.25,1.23394131641554,1.20833333333333,1.21049092131809,1.21782713849287,1.20481927710843,1.2,1.2,1.21071421065905,1.21402877697842,1.21739130434783,1.31142231751988,1.35135135135135,1.32742578025882,1.29935064935065,1.28445006321113,1.28571428571429,1.28571428571429,1.23287671232877,1.25882352941176,1.3,1.32753062540297,1.5,1.55833333333333,1.53534277528951,1.53532196969697,1.53954033771107,1.50471698113208,1.47516712770862,1.46606334841629,1.34660421545667,1.50526315789474,1.49676375404531,1.40938358560654,1.44,1.46,1.50636363636364,1.56691542288557,1.5,1.480427051463,1.33587786259542
"Denver, CO",21,,,,,,,,,,,,,,,,,,,1.20545073375262,1.14401858304297,1.18532246108228,1.17142857142857,0.981262327416174,0.945983155166829,0.966666666666667,0.977918593727417,0.994097222222222,1.09313492063492,1.09530876494024,1.10429447852761,1.15,1.10758804907004,1.15,1.16279069767442,1.19615384615385,1.15606936416185,1.15108695652174,1.15384615384615,1.25,1.29166666666667,1.37557339449541,1.4,1.40234130706692,1.45875850340136,1.51428571428571,1.39254754533392,1.39411764705882,1.5,1.5,1.5,1.5,1.52032520325203,1.55417289722303,1.55963302752294,1.56779661016949,1.57191209394669,1.56,1.55153838871533,1.56736287201388,1.58371040723982,1.59825966425381,1.56660412757974,1.68918918918919,1.75826108807639,1.75445156426687,1.76095238095238,1.82608695652174,1.70714285714286,1.68470906630582,1.70967741935484,1.69230769230769,1.6566425809723,1.64142156862745,1.64204545454545,1.53076923076923,1.58333333333333,1.57142857142857,1.71428571428571,1.67597765363128,1.69659555815313,1.74003887269193,1.71428571428571,1.69761582892958,1.70833333333333,1.68470906630582
"Portland, OR",22,,,,,,,,,,,,,,,,,,,0.766666666666667,0.807692307692308,0.817647058823529,0.813574250026689,0.75,0.747916666666667,0.74375,0.78125,0.789473684210526,0.8125,0.849679487179487,0.84546582589266,0.871248789932236,0.894245723172628,0.876709047178063,0.875,0.88472485768501,0.959047516129745,1,0.995449374288965,1.00522995411842,0.994562647754137,0.999502982107356,1,1.01212121212121,1.03125,1.06989247311828,1.0244602679152,1.03949652777778,1.05851063829787,1.1144578313253,1.1085626911315,1.11413043478261,1.07389772458861,1.09663271080928,1.16091954022989,1.19565217391304,1.19565217391304,1.22282608695652,1.23546315077755,1.27857142857143,1.38586956521739,1.35869565217391,1.30910931174089,1.22665454407698,1.074609375,1.171918767507,1.25071428571429,1.33495145631068,1.24396157047725,1.33463736488311,1.27418414918415,1.38356164383562,1.38020833333333,1.434375,1.41820987654321,1.27924528301887,1.32666666666667,1.43678571428571,1.48,1.47469135802469,1.55882352941176,1.57407407407407,1.57337198929527,1.55761024182077,1.59810387821097,1.4996251874063
"Charlotte, NC",23,,,,,,,,,,,,,,,,,,,,,,,,0.661487758945386,0.666666666666667,0.673076923076923,0.668181818181818,0.670997920997921,0.666666666666667,0.666666666666667,0.680018026727897,0.684818105870737,0.6875,0.723253757736516,0.717748917748918,0.735962987470037,0.774270673704524,0.807423815277218,0.823578595317726,0.8125,0.821428571428571,0.829646017699115,0.824884792626728,0.832968156587788,0.875,0.852981109799292,0.864427860696517,0.836607213011707,0.785714285714286,0.81892697466468,0.808938746438747,0.774985038898863,0.790229885057471,0.8125,0.863636363636364,0.866666666666667,0.85024384144054,0.906519065190652,0.938303341902314,0.938303341902314,0.938303341902314,0.938303341902314,0.965909090909091,0.984042553191489,0.984042553191489,0.938303341902314,0.941295546558704,0.962419798350137,0.85254600272786,0.863259668508287,0.906519065190652,0.907804987140781,0.835385878489327,0.896215453079336,1.0566762728146,0.999143101970865,0.998076923076923,1,1.00165380374862,1.11666666666667,1.05223371603956,1.06071790418295,1.04206885456885,1.00165380374862,0.974870017331023
"San Antonio, TX",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.956620656733396,1.0249500998004,1,1,1.02543068088597,1,0.995833333333333,0.995670995670996,0.998568360773085,1.01602330662782,1,1.01279317697228,1.02543068088597,1.004,1
