"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"South Carolina","State","South Carolina","All Homes",48746,49485,50128,49787,48973,48765,48471,47874,47388,46689,46661,47444,47711,47505,47711,48099,48293,49040,50451,50698,49463,48860,48604,47417,46617,46633,46211,45377,44533,43247,41856,41196,41081,40905,40539,40333,40377,40650,41291,41899,42100,41692,40966,40641,40744,40946,41019,40921,40742,40646,40965,41806,42333,42040,41350,40876,40956,41116,41000,40655,40063,38801,36622,34526,33899,34556,35321,35742,35708,34955,34026,33754,33501,32890,32569,32572,32500,32322,32163,31947,31728,31582,31478,31567,31688,31458,31040,30634,30001,29241,28819,28629,28416
"Louisiana","State","Louisiana","All Homes",16730,16741,16681,16535,16381,16703,17287,17452,17399,17274,17173,17327,17529,17596,17688,17751,17600,17601,17795,17664,17306,17249,17389,17300,17003,16814,16527,15896,15479,15180,14667,14475,14619,14752,14738,14542,14550,14713,14660,14519,14402,14179,13963,14007,14170,14290,14403,14479,14354,14077,14021,14267,14428,14302,14128,14049,14021,14008,14055,14129,14029,13855,13876,14036,14143,14129,14100,14162,14218,14088,13851,13729,13645,13629,13810,13953,13984,14242,14669,14798,14728,14803,14898,14980,15367,15936,16265,16742,17522,18005,18210,18498,18947
"Kentucky","State","Kentucky","All Homes",23127,23052,23068,22978,22412,22139,22608,23209,23544,23700,24051,24405,24541,24847,25373,25913,26232,26284,26288,26067,25808,25941,25850,25249,24872,24831,24595,24140,23964,23913,23535,23220,23155,23059,23128,23415,23637,24014,24560,24880,24884,24468,23888,23571,23449,23362,23231,23089,22894,22562,22442,22711,22988,23193,23403,23480,23410,23241,23055,22901,22632,22122,21375,20754,20680,20875,20858,20649,20391,20031,19597,19240,18919,18597,18469,18471,18302,18103,18069,17990,17807,17646,17539,17499,17566,17545,17137,16483,15966,15702,15585,15575,15542
"Oregon","State","Oregon","All Homes",29027,29616,30987,31369,30430,29883,29834,29626,29404,29266,29352,29585,29668,29936,30353,30077,29194,28901,29266,28976,28101,28078,28673,28843,28633,27812,26036,24251,23413,22935,21999,21115,20820,20582,20119,19824,20009,20303,20311,20346,20332,19951,19761,20117,20473,20513,20422,20304,20091,19867,19965,20736,21700,21989,21735,21503,21393,21058,20362,19762,19406,19114,18889,18865,19006,18869,18488,18244,17982,17542,17072,16613,16164,15752,15505,15440,15368,15398,15523,15505,15436,15419,15367,15353,15248,14787,14281,13956,13769,13867,14126,14323,14411
"Oklahoma","State","Oklahoma","All Homes",22207,22376,22743,22763,22194,21777,21886,22509,23424,24049,24657,25385,25694,25526,25424,25404,25173,25397,25854,25451,24714,24518,24514,23896,22848,22349,22079,21721,21871,21778,20796,20067,19975,19910,19789,19787,19911,19899,19827,19933,19997,19833,19647,19494,19221,18956,18776,18673,18588,18332,18128,18334,18660,18736,18752,18846,18840,18620,18245,18046,18131,18061,17567,17200,17338,17468,17634,17988,18251,18454,18599,18539,18425,18624,19173,19548,19380,19252,19443,19527,19407,19163,18898,18891,19227,19800,20203,20027,19674,19653,19820,19878,19822
"Connecticut","State","Connecticut","All Homes",25106,25375,25459,24930,24025,23440,23086,22720,22673,23158,24217,25456,26153,26262,26503,26984,27149,27533,28622,29253,29187,29214,29137,28762,28403,28695,29393,29460,29153,28680,27657,26606,25723,24679,23958,23729,23729,23858,23765,23475,23180,22810,22429,22386,22789,23206,23483,23644,23624,23517,23445,23890,24853,25564,25802,25834,25948,26299,26245,25674,25373,24926,24275,24226,24635,25062,25285,25304,25309,25134,24632,23965,23230,22796,22788,22705,22327,21941,21586,21121,20842,20779,20732,20910,21060,20766,20136,19375,18718,18192,18346,19234,19651
"Iowa","State","Iowa","All Homes",13142,13249,13570,13721,13476,13363,13552,13876,14419,14875,15348,15986,16394,16812,17413,17825,17986,18066,18217,18231,17911,17698,17651,17470,17295,17194,17196,17244,17227,17189,16950,16609,16425,16272,15919,15532,15616,15968,16145,16299,16390,16262,16104,15970,15755,15582,15495,15310,15021,14743,14775,15195,15510,15591,15592,15509,15418,15294,15074,14878,14749,14555,13675,12395,12062,12242,12228,12274,12392,12483,12507,12503,12353,12085,12108,12388,12509,12576,12742,12780,12689,12722,12957,13246,13363,13247,13094,12929,12563,12201,12056,12185,12540
"Mississippi","State","Mississippi","All Homes",13547,13511,13581,13711,13634,13654,13845,13824,13857,13953,13819,13669,13744,14059,14441,14674,14571,14293,14175,13999,13601,13305,12995,12604,12535,12724,12740,12550,12462,12426,12122,11752,11564,11638,12086,12492,12608,12694,12905,13142,13287,13328,13308,13355,13378,13170,12923,12818,12568,12108,12003,12398,12712,12720,12653,12685,12706,12582,12478,12535,12597,12576,11902,10643,10143,10301,10449,10584,10756,11152,11493,11498,11349,11236,11451,11947,12250,12371,12485,12676,12905,12872,12673,12642,12769,12728,12556,12497,12305,12075,12100,12134,12052
"Arkansas","State","Arkansas","All Homes",18482,18421,18502,18477,18301,18440,18727,18779,18673,18600,18586,18634,19175,20020,20584,20851,20662,20396,20522,20487,20040,19730,19712,19632,19322,19009,18957,19076,19279,19264,18934,18952,19297,19478,19499,19403,19220,19145,19451,20052,20562,20675,20151,19481,19460,19814,19995,19966,19771,19513,19576,20107,20275,19766,19440,19573,19797,19868,19803,19767,19694,19462,18209,16282,15574,16012,16692,17009,16852,16741,16719,16754,16893,17089,17471,17972,18290,18410,18397,18267,18030,17695,17413,17326,17287,17117,17024,16769,16203,15993,16111,16259,16372
"Kansas","State","Kansas","All Homes",16560,16745,17220,17407,17384,17650,17790,17754,17797,17571,17253,17205,17114,17072,17378,17572,17317,17122,17194,17077,16772,16608,16414,16058,15832,15766,15587,15006,14132,13402,12987,12797,12577,12363,12261,12231,12381,12455,12254,12105,12044,11882,11722,11648,11595,11566,11621,11686,11584,11318,11179,11482,11928,12027,11850,11641,11576,11588,11466,11317,11283,11169,10647,10141,10262,10499,10561,10632,10655,10684,10740,10687,10468,10285,10299,10436,10587,10759,10896,10946,10927,10869,10865,10930,11025,11017,10948,10937,10820,10653,10562,10572,10663
"Utah","State","Utah","All Homes",17251,17126,17424,17590,17072,16481,15933,15695,16015,16225,16507,17153,17670,18283,18917,19000,18706,18622,18759,18440,17794,17509,17423,17149,16708,15976,14902,14015,13661,13372,12933,12640,12408,12120,11802,11423,11198,11217,11419,11896,12384,12544,12685,12967,13139,13280,13460,13531,13481,13446,13796,14519,14955,15042,14987,14709,14422,14174,13775,13373,13124,12841,11959,10670,9925,9566,9229,9072,9083,9110,8974,8706,8557,8627,8842,9029,9150,9446,9723,9711,9545,9375,9229,9054,8802,8477,8212,8073,7938,7764,7702,7846,8033
"Nevada","State","Nevada","All Homes",23288,23368,23389,23019,22493,22402,22922,23707,25212,27032,27862,28091,28302,28683,29664,30731,30920,30870,31134,30831,30067,29582,28880,27654,26536,25607,24459,23439,22877,21785,19901,18180,15703,12573,11401,11669,11529,11243,11088,10993,10973,10896,10866,11218,11965,12784,13394,13677,13663,13645,13788,14010,14205,14196,14016,13952,14225,14583,14695,14703,14785,14752,14509,14229,13905,13801,13998,14110,14232,14422,14308,14005,13911,13998,14070,14027,14528,15901,17269,18043,18174,17912,17438,16914,16624,16521,16443,16362,16020,15251,14363,13667,13249
"New Mexico","State","New Mexico","All Homes",12879,12900,12903,12760,12517,12457,12496,12498,12615,12748,12943,13356,13773,14152,14478,14434,14103,14018,14290,14447,14369,14416,14499,14348,14034,13687,13240,12785,12668,12637,12368,12336,12648,12819,12792,12696,12676,12888,13161,13346,13494,13600,13706,13802,13780,13697,13628,13580,13528,13455,13527,13839,14132,14216,14180,14114,14024,13863,13535,13180,12994,12859,12752,12796,12792,12640,12536,12335,12022,11945,12173,12371,12369,12303,12278,12310,12322,12316,12317,12288,12225,12107,11990,11975,11998,11905,11735,11621,11610,11610,11503,11422,11451
"West Virginia","State","West Virginia","All Homes",7784,7692,7678,7705,7490,7137,6854,6741,6845,6958,7100,7395,7692,7979,8169,8207,8248,8406,8739,8910,8692,8646,8999,9142,9001,8961,8888,8588,8257,8030,7860,7827,7944,7982,7906,7868,7932,8060,8120,8112,8192,8309,8289,8130,8035,8088,8154,8232,8287,8246,8303,8553,8806,8971,9066,9093,9094,9081,8991,8831,8741,8728,8741,8823,8950,9027,9051,9158,9360,9428,9259,9045,8900,8789,8822,8999,9212,9448,9665,9822,9891,9879,9857,9917,10002,10004,9924,9836,9761,9640,9562,9566,9563
"Nebraska","State","Nebraska","All Homes",7127,7388,7432,7372,7330,7258,7191,7187,7333,7649,7961,7717,7134,7177,7675,7910,7919,7873,7783,7617,7379,7171,6976,6890,6907,6783,6616,6521,6441,6290,6043,5880,5821,5714,5603,5664,5788,5804,5791,5788,5764,5899,6228,6386,6329,6282,6254,6240,6246,6162,6116,6217,6265,6181,6071,6026,6011,5953,5894,5925,5918,5766,5453,5099,5018,5148,5236,5251,5250,5251,5244,5270,5297,5230,5177,5243,5282,5195,5069,5036,5032,4946,4858,4888,4982,4982,4881,4762,4622,4484,4381,4340,4364
"Idaho","State","Idaho","All Homes",13147,13282,13444,13347,12813,12209,11812,11706,11831,11912,11980,12172,12393,12537,12701,12779,12645,12722,13271,13709,13612,13498,13714,13828,13587,13278,12896,12419,12115,11925,11528,11067,10981,11086,11086,10944,10804,10780,10822,10964,11095,11077,11065,11162,11238,11300,11356,11355,11324,11309,11323,11542,11982,12202,12075,11835,11708,11671,11519,11342,11246,11134,10963,10758,10646,10619,10505,10303,10067,9788,9455,9216,9141,9111,9162,9225,9238,9316,9403,9364,9226,9026,8784,8638,8535,8322,8062,7827,7575,7313,7205,7306,7407
"Hawaii","State","Hawaii","All Homes",6214,6125,5991,5738,5339,4922,4576,4466,4642,4796,4837,4878,4909,5106,5576,6011,6239,6592,7233,7718,7809,7940,8242,8316,8153,7981,7823,7648,7515,7417,7207,6893,6647,6454,6218,6032,6038,6119,6094,6040,6029,5961,5784,5672,5679,5680,5685,5754,5842,5886,5961,6048,6022,5957,5969,6083,6220,6237,6196,6263,6345,6337,6281,6423,6950,7484,7762,7773,7686,7763,7876,7912,7915,7930,8015,8063,7985,7851,7766,7765,7771,7737,7702,7609,7500,7418,7203,6942,6714,6505,6379,6350,6400
"Maine","State","Maine","All Homes",14201,14478,14635,14389,13783,13200,12732,12684,13147,13379,13469,13525,13281,13160,13425,13707,13831,14350,15221,15845,16155,16343,16559,16491,16013,15619,15432,15211,15001,14737,14296,13115,11444,10794,10825,11423,12852,13701,13957,14182,14024,13577,13152,13160,13633,13864,13767,13526,13085,12774,12848,13169,13392,13420,13295,13310,13695,13865,13610,13283,13041,12858,12069,11372,12010,12841,13567,14040,13454,12772,12480,12099,11588,11220,11213,11167,10778,10446,10061,9724,9825,9937,9914,9866,9698,9456,9296,9098,8618,8090,7683,7626,7991
"New Hampshire","State","New Hampshire","All Homes",12878,13006,13237,13043,12289,11559,11254,11404,11670,11847,12090,12244,12359,12535,12588,12491,12483,13046,13973,14362,14100,13850,13740,13594,13473,13400,13229,12927,12662,12370,11925,11591,11559,11620,11627,11613,11749,11994,12046,12054,12129,11948,11614,11425,11331,11206,11079,11029,10730,10225,10127,10453,10843,11067,11153,11239,11303,11235,11011,10815,10771,10764,10819,11106,11508,11803,11807,11531,11276,11067,10757,10333,9896,9587,9360,9081,8755,8447,8140,7854,7627,7518,7630,7891,8061,7937,7513,6977,6459,6032,5844,5848,5852
"Rhode Island","State","Rhode Island","All Homes",5967,6297,6808,6856,6640,6595,6559,6447,6443,6637,6875,7031,7080,7124,7346,7643,7773,7911,8146,8187,8118,8111,8074,7986,7895,7778,7531,7244,7103,6948,6664,6482,6429,6345,6233,6185,6226,6237,6143,6064,6002,5833,5686,5697,5749,5763,5752,5718,5682,5676,5694,5757,5859,5956,6043,6080,6083,6080,5997,5851,5722,5502,5370,5538,5665,5659,5666,5631,5445,5173,5088,5204,5279,5234,5100,4919,4809,4804,4813,4809,4818,4816,4744,4662,4667,4663,4511,4278,4148,4099,4037,4014,4024
"Montana","State","Montana","All Homes",5287,5290,5335,5288,5154,5074,4997,4913,4918,5091,5517,6142,6655,6978,7229,7371,7611,8115,8700,9104,9228,9303,9409,9288,8977,8705,8403,8087,7955,7937,7857,7751,7665,7510,7064,6592,6746,7246,7692,8105,7941,7231,6786,6684,6671,6685,6738,6754,6571,6335,6300,6462,6650,6844,6998,7057,7090,7035,6866,6734,6642,6520,6314,6172,6325,6458,6399,6341,6325,6413,6663,6870,6851,6817,6887,6842,6803,6982,7064,6969,6922,6887,6841,6843,6807,6685,6508,6347,6266,6223,6185,6183,6230
"Delaware","State","Delaware","All Homes",6756,6791,6949,7056,6975,6915,7184,7780,8192,8236,8298,8437,8485,8677,9032,9193,9223,9432,9658,9469,9055,8924,9077,9191,9090,8814,8522,8371,8313,8122,7736,7406,7319,7304,7168,6999,7071,7346,7546,7602,7517,7296,7046,6874,6743,6665,6684,6714,6690,6609,6664,6953,7197,7308,7368,7296,7154,7074,6981,6876,6815,6710,6327,5838,5743,5884,6026,6403,6922,7107,7032,6993,6941,6875,6900,6958,6962,6994,7063,7055,6941,6836,6761,6689,6666,6611,6524,6473,6366,6232,6111,5902,5690
"South Dakota","State","South Dakota","All Homes",3428,3527,3661,3672,3566,3517,3528,3533,3553,3610,3700,3877,3967,3874,3923,4026,4042,4206,4488,4610,4533,4384,4207,4082,4044,4019,3930,3824,3775,3749,3706,3668,3613,3530,3510,3501,3454,3476,3493,3459,3467,3511,3557,3581,3529,3418,3360,3334,3289,3232,3214,3409,3675,3653,3412,3261,3269,3317,3379,3410,3363,3302,3184,2970,2748,2566,2476,2487,2656,2952,3052,2998,3085,3207,3271,3327,3343,3361,3386,3361,3270,3177,3150,3138,3123,3121,3104,3056,3015,3037,3075,3107,3137
"Alaska","State","Alaska","All Homes",3478,3467,3452,3385,3285,3176,3083,3110,3256,3385,3489,3596,3640,3696,3819,3938,4035,4202,4444,4485,4346,4335,4367,4297,4227,4169,4031,3888,3863,3884,3865,3886,3944,3952,3940,3925,3944,4013,4062,4075,4112,4183,4216,4170,4067,3938,3790,3648,3526,3413,3342,3335,3336,3315,3269,3210,3203,3253,3309,3348,3336,3324,3395,3438,3363,3268,3216,3199,3203,3212,3230,3268,3348,3450,3507,3538,3577,3589,3541,3482,3455,3436,3426,3450,3461,3386,3297,3300,3283,3161,3095,3197,3338
"North Dakota","State","North Dakota","All Homes",1618,1669,1654,1593,1545,1523,1522,1502,1470,1449,1474,1556,1612,1629,1676,1738,1761,1775,1799,1810,1805,1817,1874,1899,1839,1752,1635,1496,1436,1431,1423,1436,1466,1492,1496,1477,1457,1432,1399,1331,1256,1204,1149,1166,1248,1301,1324,1355,1386,1391,1398,1425,1443,1416,1392,1424,1503,1593,1623,1604,1600,1610,1670,1769,1795,1770,1792,1852,1915,1952,1975,2025,2098,2205,2323,2449,2612,2778,2901,2896,2788,2727,2710,2692,2722,2816,2931,3060,3203,3356,3472,3504,3538
"Vermont","State","Vermont","All Homes",4821,4942,5105,5145,5015,4806,4611,4514,4522,4593,4753,4954,5193,5388,5427,5436,5509,5807,6334,6665,6676,6753,7063,7401,7585,7626,7564,7491,7464,7340,7159,7158,7333,7438,7415,7392,7454,7535,7530,7522,7571,7544,7409,7332,7354,7354,7271,7190,7032,6818,6877,7166,7425,7573,7688,7799,7838,7804,7694,7600,7612,7721,7870,7894,7810,7851,7955,7934,7839,7768,7690,7497,7265,7119,7017,6957,6966,7002,6953,6823,6706,6608,6552,6571,6624,6623,6497,6302,6119,5938,5757,5623,5558
"District of Columbia","State","District of Columbia","All Homes",2129,2131,2191,2226,2178,2144,2072,1958,2026,2207,2301,2312,2280,2296,2339,2330,2357,2432,2472,2447,2352,2253,2204,2145,2080,2050,1967,1824,1715,1640,1594,1542,1396,1235,1152,1123,1124,1107,1073,1085,1074,994,967,1004,1027,1052,1094,1127,1121,1082,1056,1066,1096,1138,1169,1182,1197,1193,1147,1109,1106,1100,1117,1168,1185,1175,1185,1216,1256,1297,1295,1253,1226,1216,1224,1236,1233,1226,1206,1190,1189,1169,1161,1198,1239,1247,1207,1161,1171,1191,1168,1167,1210
"Wyoming","State","Wyoming","All Homes",2683,2669,2670,2697,2658,2601,2608,2661,2771,2908,3021,3139,3279,3570,3976,4177,4243,4472,4868,5139,5155,5136,5117,5017,4921,4841,4664,4473,4424,4401,4333,4354,4400,4408,4475,4518,4475,4407,4317,4216,4143,4090,4026,3987,3967,3909,3847,3841,3832,3745,3692,3753,3788,3734,3504,3163,3050,3121,3212,3309,3360,3370,3382,3439,3492,3490,3546,3656,3716,3749,3748,3717,3770,3941,4126,4211,4229,4279,4367,4447,4491,4486,4427,4371,4330,4251,4192,4280,4461,4561,4603,4664,4693
