"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"10025","New York","NY","New York","New York",1,,,,2675,2517.5,2600,2617.5,2750,2785,2775,2750,2825,2785,2785,2725,2695,2775,2800,2895,2800,2875,2850,3000,3147.5,3300,3195,3000,3000,3000,3100,3200,3200,3250,3200,3200,3200,3250,3200,3200,3250,3217.5,3250,3295,3250,3200,3195,3000,3190,3165,3100,3150,3150,3200,3195,3192,3100,3095,3050,3100,3150,3195,3195,3175,3150,3162,3175,3050,3025,3240,3200,3095,3200,3295,3200,3000,3200,3095,3100,3111.5,3100,3070,3200,3250,3296.5
"60657","Chicago","IL","Chicago","Cook",2,,,,,,1195,1175,1245,1340,1275,1257.5,1270,1295,1247.5,1250,1345,1477.5,1400,1450,1492.5,1600,1600,1490,1560,1547.5,1575,1497.5,1500,1500,1495,1505,1550,1525,1425,1495,1400,1350,1425,1425,1500,1500,1475,1497.5,1525,1500,1500,1450,1450,1550,1550,1595,1600,1545,1545,1645,1695,1745,1695,1550,1540,1475,1475,1475,1450,1495,1560,1552.5,1595,1637.5,1550,1450,1450,1500,1435,1450,1495,1530,1560,1550,1602.5,1640,1595,1550,1550
"10023","New York","NY","New York","New York",3,,,,,,,,,,,3200,3295,3100,3140,3250,3150,3200,3195,3200,3250,3295,3200,3350,3300,3300,3327.5,3200,3200,3100,3250,3200,3200,3300,3300,3399,3479,3500,3400,3400,3400,3400,3429.5,3450,3450,3495,3400,3497,3425,3395,3427,3369,3350,3440,3450,3495,3250,3250,3395,3400,3418,3300,3277,3300,3238,3226,3226,3300,3295,3199,3200,3195,3250,3312.5,3262.5,3200,3160,3213,3195,3197,3200,3259,3399.5,3300,3300
"60614","Chicago","IL","Chicago","Cook",4,,,,,1485,1435,1500,1500,1595,1550,1445,1519.5,1550,1625,1600,1600,1585,1575,1622.5,1750,1845,1767.5,1694,1665,1700,1700,1600,1694,1695,1695,1695,1837.5,1805,1840,1720,1672.5,1597.5,1665,1675,1755,1700,1650,1675,1640,1795,1750,1750,1800,1899.5,1965.5,1895,1930.5,1850,1700,1750,1895,2000,1895,1899,1900,1850,1962.5,1968,1915,1970,1900,1855,1900,1942.5,1850,1660,1725,1595,1675,1595,1650,1685,1750,1750,1800,1871,1922.5,1875,1875
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,2500,2500,2687.5,2600,2600,2600,2572.5,2572.5,2737.5,2825,2600,2595,2595,2650,2695,2700,2750,2775,2750,2750,2800,2775,2735,2750,2700,2795,2795,2795,2875,2950,3045,3012.5,3000,3075,3100,2995,3000,2995,2972.5,2895,3150,3150,3199,3295,3100,3090,3000,3100,3095,3050,2950,3000,3328.5,3095,3200,3274.5,2995,3200,2995,2900,3200,3075,3085,3200,3200,3200,3198,3100
"60640","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1145,1145,1125,1150,1100,1100,1125,1145,1150,1195,1175,1175,1150,1190,1175,1175,1175,1175,1175,1195,1195,1200,1200,1250,1200,1200,1200,1200,1195,1200,1225,1300,1285,1225,1275,1295,1267.5,1250,1276,1350,1325,1300,1317.5,1285,1250,1225,1255,1212.5,1175,1200,1295,1295,1350,1350,1350,1350,1350,1300
"10467","New York","NY","New York","Bronx",7,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1195.5,1297,1300,1300,1250,1295,1283.5,1250,1262.5,1275,1250,1250,1200,1200,1249,1250,1250,1250,1200,1215,1250,1300,1300,1250,1280,1300,1300,1300,1300,1300,1301,1350,1400,1400,1400,1400,1400,1400,1400,1400,1412.5,1450,1425,1425,1450,1400,1450,1495,1475,1450,1462.5,1475,1475,1498.5,1498,1500,1500,1550,1525
"94109","San Francisco","CA","San Francisco","San Francisco",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772.5,3625,3372.5,3200,3400,3600,3600,3675,3850,3900,3997.5,3947.5,4000,4200,3975,3850,3800,3800,3900,3997.5,4000,3895,3795,3800,3650,4150,4000,3626.5,4000,4290,3875,4125,3555,3650,3500,3600,3600,3525,3450,3495,3400,3595,3575,3500,3400,3297.5
"11226","New York","NY","New York","Kings",9,,,,,,,,,,,,,,1487.5,1400,1385,1300,1295,1350,1275,1350,1400,1400,1350,1400,1399,1517,1550,1500,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1750,1775,1750,1750,1800,1800,1795,1750,1750,1800,1850,1950,1850,1825,1895,1895,1950,1900,1900,1900,1900,1900,1900,1950,1999,1999,1955.5,2100,1931.5,2000,1849,1900,1900,1950,1950,1975,2000,2050,2000,2022.5
"11375","New York","NY","New York","Queens",10,,,,,,,,,,,,,1900,2000,1947.5,1997.5,1972.5,2100,2000,2100,1950,1950,1950,1875,1875,1862.5,1995,1895,1912.5,1895,1900,1897.5,2000,2000,2000,1968,1925,1925,1950,1950,1950,1950,1925,1995,1975,2015,1950,2023.5,2000,1950,2000,2050,2050,2000,2100,2150,2185,2195,2200,2200,2197.5,2250,2250,2250,2200,2199.5,2162.5,2200,2175,2225,2199,2200,2212.5,2200,2100,2100,2100,2000,2000,1999,2000,2000,2100,2100
"10016","New York","NY","New York","New York",11,,,,2500,2550,2700,2750,2800,2850,2895,2900,2900,2950,2995,2900,2900,2925,2900,2930,3090,3095,3095,3160.5,3150,3160,3125,3050,3000,3000,3000,3000,3100,3100,3175,3200,3195,3185,3100,3100,3085,3100,3125,3150,3200,3200,3450,3436.5,3400,3394,3400,3448,3395,3400,3495,3450,3425,3400,3395,3393,3350,3300,3300,3295,3250,3299,3295,3297.5,3300,3300,3300,3295,3350,3395,3300,3300,3236,3295,3300,3385,3400,3395,3400,3398,3395
"60647","Chicago","IL","Chicago","Cook",12,,,,,,,,,,,1050,1100,1197,1199,1199,1200,1197.5,1200,1295,1272.5,1172.5,1172.5,1200,1300,1295,1250,1250,1300,1300,1297.5,1295,1295,1250,1250,1275,1250,1275,1350,1295,1350,1350,1312.5,1350,1250,1295,1325,1300,1295,1250,1295,1295,1395,1395,1250,1400,1400,1475,1395,1385,1395,1400,1400,1400,1400,1425,1450,1450,1395,1495,1412.5,1350,1400,1295,1450,1595,1437.5,1495,1550,1595,1595,1600,1625,1650,1600
"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1200,1150,1237.5,1250,1250,1250,1285,1275,1285,1300,1300,1295,1342.5,1350,1325
"10009","New York","NY","New York","New York",14,,,,,2900,2597.5,2595,2595,2650,2660,2695,2692.5,2800,2900,2895,2895,2895,2825,2895,2950,2990,2950,2900,3000,3000,2995,2895,2895,2900,2895,2900,2995,3000,3075,3000,3100,3100,3100,3000,3000,3095,3090,3095,3195,3100,3136,3185.5,3200,3200,3095,3000,3000,3000,3000,3197.5,3050,3150,3150,3200,3245,3142.5,2995,3000,2973,2975,2995,3097.5,3300,3294,3255,3300,3095,3000,3132.5,2995,2992.5,3000,3000,3200,3200,3195,3200,3200,3000
"60618","Chicago","IL","Chicago","Cook",15,,,,,,,,,,1200,1295,1150,1200,1300,1300,1350,1400,1395,1350,1250,1200,1350,1250,1300,1300,1200,1250,1275,1250,1265,1250,1350,1300,1400,1475,1400,1300,1300,1350,1350,1350,1350,1350,1450,1300,1400,1425,1400,1425,1375,1350,1350,1450,1275,1300,1350,1490,1425,1450,1400,1400,1400,1400,1400,1400,1400,1462.5,1500,1500,1495,1450,1475,1362.5,1375,1440,1400,1440,1445,1475,1550,1550,1537.5,1500,1450
"10029","New York","NY","New York","New York",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2850,2800,2850,2900,2895,2895,2900,2850,2700,2700,2725,2750,2797.5,2750,2700,2700
"10128","New York","NY","New York","New York",17,,,,,,,2550,2495,2450,2495,2500,2500,2550,2595,2550,2600,2672.5,2600,2642.5,2695,2695,2650,2675,2700,2695,2750,2750,2700,2700,2750,2700,2695,2700,2695,2695,2700,2795,2700,2700,2650,2695,2725,2755,2750,2750,2690,2700,2700,2695,2697.5,2695,2695,2725,2750,2750,2650,2700,2700,2750,2795,2750,2695,2650,2670,2725,2750,2700,2750,2700,2699,2695,2700,2795,2675,2700,2695,2750,2750,2774,2700,2750,2795,2800,2845
"10011","New York","NY","New York","New York",18,,,,,,2800,2800,2797.5,2850,2895,2795,2800,3000,3212.5,3212.5,3250,3300,3300,3295,3450,3400,3400,3441,3475,3395,3400,3295,3275,3295,3300,3400,3400,3450,3495,3500,3500,3600,3500,3500,3500,3500,3500,3575,3550,3600,3515,3514.5,3647.5,3650,3600,3695,3750,3700,3650,3795,3650,3575,3550,3700,3695,3795,3495,3450,3495,3515,3540,3500,3600,3610,3519,3632.5,3550,3750,3520.5,3500,3512,3600,3595,3699.5,3795,3750,3695,3700,3695
"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395,2300,1922.5,2150,2400,2395,2400,2592.5,2395,2450,2495,2450,2462.5
"10003","New York","NY","New York","New York",20,2897.5,3097.5,2900,3225,3225,3000,3000,3000,3000,3195,2995,3095,3195,3200,3200,3200,3325.5,3150,3200,3300,3300,3299,3295,3300,3300,3250,3150,3195,3200,3250,3200,3250,3300,3300,3300,3345,3300,3325,3400,3350,3395,3400,3400,3500,3600,3590,3495,3400,3495,3500,3595,3625,3600,3600,3700,3300,3300,3337.5,3400,3450,3449,3395,3450,3397,3350,3390,3414.5,3395,3350,3295,3300,3295,3350,3300,3275,3295,3300,3362.5,3500,3492.5,3450,3495,3450,3400
"10462","New York","NY","New York","Bronx",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1275,1300,1250,1295,1247.5,1250,1295,1225,1250,1278,1250,1250,1300,1300,1325,1326,1350,1328,1350,1300,1300,1350,1399,1400,1400,1450,1475,1450,1425,1396,1395,1450,1450,1450,1450,1450,1450,1450,1475,1500,1500,1600,1500,1500,1615,1500,1450,1498,1550,1575,1600,1700,1700
"60613","Chicago","IL","Chicago","Cook",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1350,1375,1300,1350,1397.5,1395,1500,1555,1595,1695,1550,1495,1447.5,1440,1445,1450,1412.5,1485,1500,1562.5,1587.5,1450,1495,1475,1375,1400,1495,1475,1490,1475,1495,1595,1650,1645,1500,1535
"20009","Washington","DC","Washington","District of Columbia",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875,2452,2350,2400,2385,2395,2395,2395,2395,2300,2670,2790,2925,2860,2910,2940,2700,2700,2730,2800,2760,2730,2699.5,2600,2450,2640,2699,2699.5,2730,2750,2850,2900,2880,2900,2880,3011.5,2850,2700,2850,2750,2850,2700,2730,2850,2850,2875,2850,2912.5,2900,2850
"10463","New York","NY","New York","Bronx",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1700,1750,1675,1650,1750,1700,1800,1875,1850,1850,1850,1900,1800,1800,1797.5,1850,1850,1850,1925,1887.5,1895,1950,1795,1900,1972.5,1850,1847.5,2100,1950,2033.5,2000,2100,2195,2200,2100,2000
"60625","Chicago","IL","Chicago","Cook",25,,,,,,,,,,995,1050,1065,1050,1012.5,1080,925,1050,1150,1175,1100,1100,1150,1340,1312.5,1295,1200,1250,1200,1200,1235,1195,1200,1150,1150,1250,1240,1200,1200,1200,1250,1200,1200,1200,1200,1200,1237.5,1300,1291.5,1288,1250,1200,1275,1200,1200,1275,1300,1295,1395,1395,1400,1300,1340,1350,1375,1395,1300,1350,1295,1325,1325,1327.5,1325,1300,1380,1395,1350,1350,1350,1375,1390,1395,1400,1445,1450
"11206","New York","NY","New York","Kings",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2247.5,2225,2325,2297,2300,2400,2600,2600,2580,2599,2500,2520,2500,2500,2500,2500,2600,2600,2700,2700,2700,2700,2600,2600,2600,2600,2650,2700,2800,2700,2800,2800,2700,2799,2850,2850,2849.5,2750,2700,2750,2750,2700,2750,2800,2650,2750,2550,2550,2500,2550,2600,2649,2692.5,2700,2750,2700
"11230","New York","NY","New York","Kings",26,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1550,1437,1400,1400,1450,1450,1449.5,1475,1500,1525,1500,1550,1500,1500,1550,1575,1612.5,1600,1600,1600,1550,1537.5,1525,1550,1600,1650,1625,1700,1800,1800,1650,1700,1700,1700,1749.5,1750,1775,1825,1850,1800,1850,1800,1895,1900,1800,1700,1750,1795,1850,1875,1950,1950,1895,1900,1850,1737.5,1819
"11209","New York","NY","New York","Kings",28,,,,,,,,,,,,,,,,1600,1500,1587.5,1600,1575,1550,1497.5,1700,1600,1700,1700,1600,1500,1525,1650,1662.5,1600,1550,1550,1600,1600,1600,1600,1600,1600,1600,1600,1600,1650,1700,1680,1675,1700,1700,1700,1700,1700,1700,1700,1750,1700,1750,1700,1800,1800,1812.5,1800,1850,1900,1900,1995,1932.5,1950,1950,1900,2000,1950,1912.5,1895,1900,1895,1975,1900,2000,1962.5,1950,1900,1850,1850
"11201","New York","NY","New York","Kings",29,,,,,2500,2500,2500,2362.5,2474.5,2500,2545,2650,2692.5,2750,2750,2800,2797.5,2800,2777.5,2775,2825,2850,2850,2900,2930,2950.5,3008,3044.5,3000,2958,2930,3000,3100,3100,3100,3150,3125,3075,3000,2895,2900,2900,2950,3025,3159,3000,3095,3100,3165.5,3075,3135,3200,3320,3355,3345,3450,3300,3217,3200,3200,3200,3270,3300,3300,3400,3385,3295,3200,3220,3270,3158,3245,3205,3175,3100,3100,3150,3100,3167,3125,3124,3150,3214,3185
"11212","New York","NY","New York","Kings",30,,,,,,,,,,,,,,,,,,,,,,,,1700,1650,1462.5,1425,1600,1500,1550,1625,1762.5,1800,1750,1650,1500,1500,1500,1500,1500,1500,1500,1475,1500,1532.5,1500,1500,1500,1500,1500,1500,1400,1420,1500,1600,1600,1650,1600,1600,1600,1600,1600,1700,1750,1700,1700,1725,1750,1787.5,1700,1650,1775,1700,1699.5,1700,1785,1792,1800,1900,1875,1850,1800,1800,1800
"10024","New York","NY","New York","New York",31,,,,,2625,2600,2650,2600,2650,2925,2750,3050,3250,3150,3100,3000,3000,3000,3000,3000,3050,3100,3150,3200,3200,3250,3150,3100,3000,3000,3000,3068,3150,3100,3185,3250,3397,3299,3295,3250,3295,3300,3350,3300,3395,3440,3400,3350,3300,3350,3250,3225,3395,3387.5,3395,3150,3300,3344.5,3445,3480,3450,3400,3385,3385,3350,3400,3395,3385,3300,3250,3100,3250,3369,3350,3250,3200,3295,3160,3150,3195,3200,3200,3350,3297.5
"11214","New York","NY","New York","Kings",32,,,,,,,,,,,,,,,,,,,,,,,1469.5,1550,1600,1500,1400,1400,1395,1350,1350,1350,1350,1350,1400,1400,1422.5,1400,1450,1475,1500,1500,1450,1500,1500,1500,1500,1500,1525,1595,1500,1600,1650,1600,1647.5,1700,1675,1700,1747.5,1800,1800,1797.5,1745,1700,1745,1750,1800,1800,1750,1700,1850,1745,1800,1862.5,1750,1925,1895,1895,1800,1750,1900,1800,1897,1899.5
"07030","Hoboken","NJ","New York","Hudson",33,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2575,2650,2650,2650,2662.5,2700,2800,2775,2800,2650,2700,2700,2550,2500,2450,2500,2750,2650,2750,2750,2750,2700,2700,2625,2600,2600,2600,2700,2750,2600,2725,2850,2765,2750,2725,2600,2625,2750,2750,2750,2700,2750,2600,2650,2800,2750,2750,2550,2750,2711.5,2650,2672.5,2700,2750,2790,2800,2750
"60619","Chicago","IL","Chicago","Cook",34,,,,,,,,,,,,,,,,,,,,,,,,825,900,775,800,750,750,725,750,760,725,810,815,800,755,720,700,730,735,725,730,697.5,690,720,700,750,850,800,750,799,875,900,975,962.5,849,850,849.5,850,900,950,950,950,950,975,1000,905,1000,1000,950,977.5,920,925,962.5,980,1000,1000,1044,1044,1044,1044,1044,1044
"11229","New York","NY","New York","Kings",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1500,1450,1400,1450,1500,1495,1495,1500,1525,1525,1525,1500,1500,1500,1550,1625,1550,1562.5,1555,1675,1662.5,1650,1650,1650,1600,1599.5,1650,1600,1700,1687.5,1700,1700,1725,1700,1700,1750,1650,1650,1600,1599,1650,1695,1750,1850,1850,1867.5,1875,1855,1800,1750,1825,1799
"90034","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,1975,1850,1887.5,1850,1895,2095,2150,2150,1995,2250,2200,2200,2112.5
"10458","New York","NY","New York","Bronx",37,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1297,1287.5,1250,1262.5,1250,1400,1437.5,1400,1300,1285,1300,1300,1294.5,1250,1200,1200,1200,1225,1300,1300,1300,1300,1325,1395,1300,1277.5,1300,1300,1350,1397.5,1400,1495,1500,1487.5,1460,1400,1450,1400,1400,1400,1450,1400,1450,1462.5,1450,1500,1500,1500,1450,1550,1595,1600,1600,1600,1600,1600,1610,1610
"11377","New York","NY","New York","Queens",38,,,,,,,,,,,,,,,,1537.5,1700,1650,1550,1612.5,1650,1575,1562.5,1537.5,1550,1550,1650,1650,1600,1600,1650,1650,1650,1700,1700,1700,1695,1659,1700,1750,1750,1750,1750,1750,1750,1850,1800,1800,1850,1800,1825,1875,1875,1875,1871,1860,1900,1900,1920,1900,1900,1900,1900,1900,1950,1900,1875,1900,2000,1925,1950,1990,1962.5,1937.5,1875,1850,1800,1875,1900,1900,2012.5,2000,1997.5,2000
"11234","New York","NY","New York","Kings",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1875,1937.5,2000,2000,1875,1800,1800,1800,1899,1825,2100,2000,1848,1900,1800,1800,2000,1950,1900,1925,1975,1900,1875,1825,1837.5,2000,2100
"11207","New York","NY","New York","Kings",40,,,,,,,,,,,,,,,,,1500,1600,1600,1700,1600,1600,1600,1600,1600,1600,1699,1750,1800,1800,1875,1900,1850,1850,1900,1995,1900,1800,1800,1800,1800,1800,1800,1850,1800,1950,2000,2099,2100,2099,2000,2200,2200,2195,2300,2400,2300,2300,2300,2400,2400,2400,2300,2300,2300,2299,2250,2200,2374.5,2300,2400,2500,2425,2300,2125,2100,2200,2200,2224.5,2224.5,2250,2300,2400,2400
"60617","Chicago","IL","Chicago","Cook",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.5,850,937.5,862.5,900,950,950,950,900,900,900,805,875,875,800,875,950,950,950,875,900,950,975,1000,1000,1082.5,1000,1012.5,1012.5,1012.5,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1100,1100,1100,1000,1100,1100,1000,1000,1087.5,1050,1000,1000,1000,1050,1044,1044,1044
"10019","New York","NY","New York","New York",42,,,,2790,2700,2790,2785,2845,2850,2900,3057.5,3100,3100,3211,3200,3157.5,3100,3000,3100,3142.5,3198,3195,3195,3250,3325,3300,3300,3200,3200,3250,3260,3295,3300,3300,3300,3300,3323.5,3263,3230,3200,3221,3285,3300,3380,3400,3500,3500,3495,3450,3415.5,3500,3490,3500,3500,3500,3450,3450,3450,3450,3497.5,3400,3416,3400,3395,3500,3450,3500,3425,3345,3300,3350,3397.5,3400,3426.5,3395,3295,3395,3343.5,3395,3450,3495,3495,3477,3500
"10453","New York","NY","New York","Bronx",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.5,1300,1300,1200,1250,1250,1250,1250,1250,1300,1350,1279,1279,1300,1300,1300,1300,1300,1295,1295,1295,1295,1412.5,1400,1425,1400,1475,1500,1500,1500,1487.5,1550,1450,1597.5,1550,1600,1500,1512.5,1550,1600,1500,1600,1650,1600,1600,1650,1600,1650,1650
"11355","New York","NY","New York","Queens",44,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1567.5,1550,1567.5,1550,1525,1550,1550,1600,1650,1600,1650,1600,1650,1600,1600,1650,1650,1695,1650,1675,1700,1700,1750,1750,1750,1762.5,1750,1700,1950,2000,1975,2090,1850,2045,1975,1795,2040,1775,2000,1800,1850,1750,1750,1800,1800,1900,1900,1900
"11215","New York","NY","New York","Kings",45,,,,,,1900,1990,2225,2225,2400,2325,2500,2200,2300,2300,2500,2397.5,2400,2500,2462.5,2500,2600,2500,2600,2700,2500,2600,2600,2600,2500,2500,2595,2600,2595,2597.5,2600,2577,2550,2500,2500,2500,2500,2550,2700,2750,2750,2750,2550,2700,2700,2700,2700,2700,2700,2800,2900,3000,2900,2850,2800,2800,2800,2750,2750,2700,2700,2700,2700,2750,2695,2749.5,2800,2900,2720,2700,2795,2700,2697.5,2700,2700,2775,2750,2785,2700
"10452","New York","NY","New York","Bronx",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1472.5,1525,1497.5,1525,1550,1500,1495,1525,1518.5,1547.5,1550,1700
"06010","Bristol","CT","Hartford","Hartford",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,900,900,897.5,900,925,950,900,950,975,937.5,950,1025,1000
"11221","New York","NY","New York","Kings",48,,,,,1500,1500,1500,1599,1625,1600,1600,1625,1600,1500,1550,1525,1600,1600,1575,1600,1675,1700,1800,1712.5,1699,1700,1700,1700,1750,1750,1750,1825,1900,1950,2100,2248,2200,2200,2200,2200,2200,2200,2200,2200,2300,2300,2256,2250,2200,2200,2290,2300,2295,2300,2400,2500,2499,2499,2500,2499,2500,2500,2499,2499,2500,2400,2475,2491,2500,2500,2547.5,2500,2429,2500,2300,2397,2300,2350,2400,2499,2499,2499,2500,2499
"33025","Miramar","FL","Miami-Fort Lauderdale","Broward",49,,,,,,,,,,,,,,,1500,1500,1500,1450,1475,1485,1475,1500,1500,1450,1400,1450,1475,1500,1500,1495,1450,1450,1450,1400,1450,1400,1400,1400,1400,1425,1425,1425,1450,1525,1550,1450,1500,1450,1450,1450,1450,1500,1500,1492.5,1450,1482.5,1412.5,1400,1425,1375,1375,1400,1437.5,1500,1500,1500,1500,1450,1450,1470,1580,1500,1575,1562.5,1575,1600,1500,1600,1550,1582.5,1600,1600,1600,1600
"60610","Chicago","IL","Chicago","Cook",50,,,,1517,1582,1467.5,1495,1495,1575,1645,1650,1645,1640,1645,1750,1707,1694.5,1715,1745,1732.5,1740,1750,1775,1964.5,1790,1775,1740,1850,1773,1745,1750,1745,1750,1735,1750,1735,1745,1699,1725,1731,1750,1786.5,1798,1747,1858,1900,1875,1871,2025,1938,1975,1795,1995,1895,1895,1830,1805,1847,1878.5,1850,1850,1850,1868,1800,1995,1800,1750,1795,1997.5,1985,1900,1890,1897.5,1820,1850,1895,1985,2073,2207.5,2000,1967.5,2000,2000,1960
